src_id,dir_idx,bin_idx,bin_lo,bin_hi,baz_nom_deg,baz_deg,delta_deg,delta_check,depth_km,tier,lon,lat
1,0,0,0,45,0.0,0.0,88.0,88.0,100.0,0,301.0,68.0
2,1,0,0,45,22.5,22.5,88.0,88.0,100.0,0,252.94241855530092,59.057830513175844
3,2,1,45,90,45.0,45.0,88.0,88.0,100.0,0,230.88104496110893,41.28275965612789
4,3,1,45,90,67.5,67.5,88.0,88.0,100.0,0,218.62911215970078,21.32025951836094
5,4,2,90,135,90.0,90.0,88.0,88.0,100.0,0,209.17278633318665,0.813335412897283
6,5,2,90,135,112.5,112.5,88.0,88.0,100.0,0,199.52455702679399,-19.58414330921647
7,6,3,135,180,135.0,135.0,88.0,88.0,100.0,0,186.68405064113358,-39.152436579181256
8,7,3,135,180,157.5,157.5,88.0,88.0,100.0,0,164.1887132398996,-56.02658029672179
9,8,4,180,225,180.0,180.0,88.0,88.0,100.0,0,121.00000000000003,-64.00000000000001
10,9,4,180,225,202.5,202.5,88.0,88.0,100.0,0,77.8112867601004,-56.02658029672179
11,10,5,225,270,225.0,225.0,88.0,88.0,100.0,0,55.31594935886643,-39.15243657918128
12,11,5,225,270,247.5,247.5,88.0,88.0,100.0,0,42.475442973206015,-19.584143309216454
13,12,6,270,315,270.0,270.0,88.0,88.0,100.0,0,32.82721366681334,0.8133354128972701
14,13,6,270,315,292.5,292.5,88.0,88.0,100.0,0,23.37088784029922,21.320259518360945
15,14,7,315,360,315.0,315.0,88.0,88.0,100.0,0,11.118955038891109,41.28275965612787
16,15,7,315,360,337.5,337.5,88.0,88.0,100.0,0,-10.94241855530093,59.057830513175865
17,0,0,0,45,0.0,0.0,100.0,100.0,300.0,1,301.0,55.99999999999999
18,1,0,0,45,22.5,22.5,100.0,100.0,300.0,1,265.5179652701113,49.51310814557699
19,2,1,45,90,45.0,45.0,100.0,100.0,300.0,1,243.3968426052161,34.43919468275697
20,3,1,45,90,67.5,67.5,100.0,100.0,300.0,1,229.92327872040107,15.882082163777735
21,4,2,90,135,90.0,90.0,100.0,100.0,300.0,1,220.1507530761031,-4.050120101351174
22,5,2,90,135,112.5,112.5,100.0,100.0,300.0,1,211.33682869712482,-24.51406438805936
23,6,3,135,180,135.0,135.0,100.0,100.0,300.0,1,200.85534839333033,-44.97429415905734
24,7,3,135,180,157.5,157.5,100.0,100.0,300.0,1,181.7067160279971,-64.3973684821525
25,8,4,180,225,180.0,180.0,100.0,100.0,300.0,1,121.00000000000003,-75.99999999999999
26,9,4,180,225,202.5,202.5,100.0,100.0,300.0,1,60.293283972002946,-64.39736848215252
27,10,5,225,270,225.0,225.0,100.0,100.0,300.0,1,41.14465160666967,-44.97429415905735
28,11,5,225,270,247.5,247.5,100.0,100.0,300.0,1,30.66317130287517,-24.514064388059346
29,12,6,270,315,270.0,270.0,100.0,100.0,300.0,1,21.849246923896924,-4.050120101351188
30,13,6,270,315,292.5,292.5,100.0,100.0,300.0,1,12.076721279598972,15.882082163777742
31,14,7,315,360,315.0,315.0,100.0,100.0,300.0,1,-1.396842605216067,34.43919468275696
32,15,7,315,360,337.5,337.5,100.0,100.0,300.0,1,-23.517965270111286,49.51310814557701
33,0,0,0,45,0.0,0.0,115.0,115.0,600.0,2,301.0,41.0
34,1,0,0,45,22.5,22.5,115.0,115.0,600.0,2,275.48490721900856,36.372666159073596
35,2,1,45,90,45.0,45.0,115.0,115.0,600.0,2,256.26184281902016,24.428483250637882
36,3,1,45,90,67.5,67.5,115.0,115.0,600.0,2,243.19318867794416,8.334366517364478
37,4,2,90,135,90.0,90.0,115.0,115.0,600.0,2,234.0736768908392,-9.897977881808961
38,5,2,90,135,112.5,112.5,115.0,115.0,600.0,2,227.3103165947876,-29.257691816353763
39,6,3,135,180,135.0,135.0,115.0,115.0,600.0,2,222.07332618290337,-49.23076226725289
40,7,3,135,180,157.5,157.5,115.0,115.0,600.0,2,218.47591479084002,-69.52476926131256
41,8,4,180,225,180.0,180.0,115.0,115.0,600.0,2,300.99999999999966,-89.0000000000001
42,9,4,180,225,202.5,202.5,115.0,115.0,600.0,2,23.52408520915999,-69.52476926131256
43,10,5,225,270,225.0,225.0,115.0,115.0,600.0,2,19.926673817096642,-49.230762267252906
44,11,5,225,270,247.5,247.5,115.0,115.0,600.0,2,14.689683405212408,-29.25769181635375
45,12,6,270,315,270.0,270.0,115.0,115.0,600.0,2,7.92632310916084,-9.897977881808973
46,13,6,270,315,292.5,292.5,115.0,115.0,600.0,2,-1.1931886779441485,8.334366517364485
47,14,7,315,360,315.0,315.0,115.0,115.0,600.0,2,-14.261842819020117,24.428483250637864
48,15,7,315,360,337.5,337.5,115.0,115.0,600.0,2,-33.48490721900861,36.37266615907362
